StudentId,UoPId,2019-20 ENG LEVEL
1705011,,L3
1705015,,L3
1705018,,L3
1705021,,L3
1705022,,L3
1705023,,L3
1705028,,L3
1705033,,L3
1705035,,L3
1705036,922012,L3
1705038,,L3
1705040,,L3
1705041,,L3
1705044,,L3
1705046,,L3
1705048,,L3
1705049,,L3
1705054,,L3
1705055,,L3
1705057,922015,L3
1705058,922016,L3
1705059,,L3
1705060,,L3
1705063,,L3
1705064,,L3
1705067,,L3
1705068,,L3
1705070,,L3
1705072,,L3
1705080,,L3
1705082,,L3
1705084,,L3
1802004,,L3
1802016,,L3
1802021,,L3
1802022,,L3
1802029,,L3
1802034,,L3
1802042,,L3
1802054,,L3
1802056,,L3
1802063,,L3
1802068,,L3
1802070,,L3
1802077,,L3
1802086,,L3
1802088,,L3
1802095,,L3
1802101,,L3
1802105,,L3
1802110,,L3
1802111,,L3
1802112,,L3
1802120,,L3
1802123,,L3
1802141,,L3
1802164,,L3
1802165,,L3
1802175,,L3
1802177,,L3
1802181,,L3
1802185,,L3
1802196,,L3
1802198,,L3
1802223,,L3
1802228,,L3
1802235,,L3
1802236,,L3
1802237,,L3
1802243,,L3
1802250,,L3
1802256,,L3
1802265,,L3
1802269,,L3
1802276,,L3
1802278,,L3
1803004,,L3
1803013,,L3
1803015,,L3
1803018,,L3
1803019,,L3
1803037,,L3
1803046,,L3
1803066,,L3
1803074,,L3
1803096,,L3
1803105,,L3
1803128,,L3
1803134,,L3
1803152,,L3
1803153,,L3
1803154,,L3
1803165,,L3
1803178,,L3
1803184,,L3
1803195,,L3
1803200,,L3
1805001,,L3
1805002,,L3
1805008,,L3
1805009,,L3
1805010,,L3
1805011,,L3
1805013,,L3
1805014,,L3
1805015,,L3
1805019,,L3
1805021,,L3
1805023,,L3
1901003,,L3
1901004,,L3
1901006,,L3
1903005,,L3
1903009,,L3
1903012,,L3
1903018,,L3
1903056,,L3
1903060,,L3
1903073,,L3
1903152,,L3
1803189,,L3
1804026,,L3
1904006,,L3
1702062,,L3
1702166,,L3
1702217,,L3
1702229,,L3
1702233,,L3
1702259,,L3
1702277,,L3
1703136,,L3
1705017,,L3
1705032,,L3
1705047,,L3
1705089,,L3
1802007,,L3
1802028,,L3
1802162,,L3
1802178,,L3
1802239,,L3
1902083,,L3
1603050,921358,L4
1703077,921452,L4
1702041,921900,L4
1503047,882332,L4
1603008,921349,L4
1603011,921350,L4
1603013,921351,L4
1603018,921352,L4
1603019,882329,L4
1603037,921353,L4
1603040,921354,L4
1603041,921355,L4
1603043,921356,L4
1603047,921357,L4
1603057,921359,L4
1603060,921367,L4
1603061,921374,L4
1603082,921376,L4
1603085,921377,L4
1603095,921378,L4
1603102,921380,L4
1603104,921381,L4
1603105,921382,L4
1603108,921383,L4
1603109,921384,L4
1603112,921385,L4
1603127,921386,L4
1603128,921387,L4
1603133,921388,L4
1603134,921389,L4
1603139,921390,L4
1603142,921391,L4
1603146,921392,L4
1603147,921393,L4
1603151,921394,L4
1603153,921395,L4
1603154,921396,L4
1603157,921397,L4
1603163,921398,L4
1603175,921399,L4
1603181,921400,L4
1603182,921401,L4
1603188,921402,L4
1603194,921403,L4
1606003,921404,L4
1606014,921405,L4
1606024,921406,L4
1609007,882292,L4
1703003,921408,L4
1703007,921409,L4
1703009,921410,L4
1703013,921411,L4
1703015,921412,L4
1703018,921413,L4
1703022,921414,L4
1703023,921415,L4
1703025,921416,L4
1703026,921417,L4
1703028,921418,L4
1703029,921419,L4
1703030,921420,L4
1703034,921421,L4
1703035,921422,L4
1703037,921423,L4
1703038,921424,L4
1703039,921425,L4
1703041,921426,L4
1703043,921427,L4
1703044,921428,L4
1703045,921429,L4
1703048,921430,L4
1703050,921431,L4
1703051,921432,L4
1703053,921433,L4
