EXAM_TITLE,MCODE,AY,TERM,STUDENT_ID,EXAM_HALL,SEAT_NO,TIME,DAY_DATE_DISPLAY,DATE,CLASS,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1909012,Exhibition,N18,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM10,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1909013,Exhibition,N19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM10,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1909015,Exhibition,N20,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM10,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802057,Exhibition,A17,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802066,Exhibition,A22,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802067,Exhibition,B1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802100,Exhibition,B9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802106,Exhibition,B12,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802121,Exhibition,B19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802139,Exhibition,C5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802158,Exhibition,C11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802169,Exhibition,C14,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802173,Exhibition,C15,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802193,Exhibition,C19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802206,Exhibition,D3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802207,Exhibition,D4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802257,Exhibition,D21,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803039,Exhibition,E12,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803050,Exhibition,E14,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803131,Exhibition,F8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803140,Exhibition,F11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803151,Exhibition,F13,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803175,Exhibition,F18,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803206,Exhibition,G1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804007,Exhibition,G3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
